J1853-0842A	*	2.14943		-0.239(2)	155.125(4)	0.14828	0.04919	0	0.0257
J1905+0154A	*	3.193		 *		193.692(8)  	0.81255 0.5886  0.0  	0.090
J1905+0154B     *	4.968		 *		192		*	*	*	*
J1911-5958A	6.39	3.26619		+0.307(10)	33.68(1)	0.83711 1.20605 <0.00001 0.22 (x)
J1910-5959B	0.10	8.35780		-79.9(5)	33.28(4)	i	i	i	i
J1911-6000C	2.70	5.27733		+0.22(7)	33.21(4)	i	i	i	i
J1910-5959D	0.19	9.03529		+96.3(3)	33.32(5)	i	i	i	i
J1910-5959E	0.13	4.57177		-43.7(1)	33.29(5)	i	i	i	i
J1910-5959F	0.082	8.48549		74.122(6)	33.20(3)	i	i	i	i
J1910-5959G	*	4.79		 *		33.3		i	i	i	i
J1910-5959H	*	2.01		 *		33.25		i	i	i	i
J1910-5959I	*	2.65		 *		33.33		i	i	i	i
J1911+0102A	0.42	3.61852		-0.658		202.678(3)	0.140996 0.03766 <0.00013 0.020
J1911+0101B	0.12	5.38432		-0.2		196.69(2)	i	i	i	i
J1953+1846A	0.33	4.88830		+4.8506		117.3941(15)	0.17679	0.0782246(12)0.0 0.032
J1953+1846B	*	79.90		 *		119.0		*	*	*	*
J1953+1846C	*	28.93		 *		116.2		*	*	*	*
J1953+1846D	*	100.67		 *		119.038		*	*	*	*
J1953+1846E 	* 	4.44 		6.02 		113.0 		* 	* 	0 	0.0077
B2127+11A	0.018	110.665		-2107(3)	67.31(5)	i	i	i	i
B2127+11B	0.079	56.1330		+956(6)		67.69(12)	i	i	i	i
B2127+11C   	0.944	30.5293		+499.1(2.5)	67.13(5)	0.33528 2.5183	0.68139	1.13 (xi)
B2127+11D	0.019	4.80280		-107.5(1.2)	67.28(21)	i	i	i	i
B2127+11E	0.135	4.65144		+17.8(7)	66.51(12)	i	i	i	i
B2127+11F	0.279	4.02704		+3.2(8)		65.52(15)	i	i	i	i
B2127+11G	0.106	37.6602		+195(45)	66.43(24)	i	i	i	i
B2127+11H	0.038	6.74339		+2.4(1.3)	67.15(12)	i	i	i	i
J2129+1210I	*	5.12		 *		67.3		*	*	*	*
J2133-0049A 	* 	10.15 		-30.8 		43.3 		4.2555 	3.1401 	0.0751 	0.19 
J2133-0049B 	* 	6.97 		-26 		43.8 		9.3471 	5.8912 	0 	0.21 
J2133-0049C 	* 	3.00 		-3.15 		44.1 		1.1091 	1.1097 	0 	0.16 
J2133-0049D 	* 	4.22 		7.81 		43.6 		3.4297 	3.7207 	0 	0.27 
J2133-0049E 	* 	3.70 		* 		43.8 		* 	* 	* 	* 
J2133-0049F 	* 	4.78 		* 		43.4 		* 	* 	* 	* 
J2140-2310A     0.067	11.0193		-5.181(20)	25.0640(41)	0.17399 0.23494 <0.00012 0.11
J2140-2310B	*	13.0		 *		25.09(0.12)	>0.8	>0.1	>0.52	>0.02
